business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to fur-bearing animal and rabbit production.,49922.47,CropGen,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to sugarcane farming.,31822.53,EcoFarms,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to orange groves.,28559.87,FreshFields,Procured for orange groves operations.,Orange Groves
Activities related to orange groves.,47829.25,FreshFields,Procured for orange groves operations.,Orange Groves
Activities related to all other animal production.,10083.53,CropGen,Procured for all other animal production operations.,All Other Animal Production
Activities related to broilers and other meat type chicken production.,25844.86,AgriCorp,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to ther poultry porduction.,47872.03,AgriCorp,Procured for other poultry production operations.,Other Poultry Production
Activities related to corn farming.,36984.25,CropGen,Procured for corn farming operations.,Corn Farming
Activities related to sugar beet farming.,41841.63,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to beef cattle ranching and farming.,17469.06,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to shellfish farming.,2532.55,FreshFields,Procured for shellfish farming operations.,Shellfish Farming
Activities related to cattle feedlots.,43849.43,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
ttteereku idaslet mptlavAii.d cct   diacraodo ionirnytl,37669.62,AgriCorp,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to other poultry production.,20870.29,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to fur-bearing animal and rabbit production.,22002.53,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to sheep farming.,44749.83,CropGen,Procured for sheep farming operations.,Sheep Farming
Activities related to chicken egg production.,47176.97,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to apple orchards.,23094.84,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to fruit and tree nut combination farming.,3295.24,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to hog and pig farming.,18291.96,AgriCorp,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to musroom porduction.,8598.14,CropGen,Procured for mushroom production operations.,Mushroom Production
Activities related to horses and other equine production.,35233.07,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to apple orchards.,11018.08,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to beef cattle ranching and farming.,42509.05,BioHarvest,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to other noncitrus fruit farming.,10798.9,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to sheep farming.,17884.02,AgriCorp,Procured for sheep farming operations.,Sheep Farming
Activities related to poultry hatcheries.,36575.13,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to goat farming.,17827.19,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to apiculture.,24520.42,FreshFields,Procured for apiculture operations.,Apiculture
Activities related to hay farming.,20552.9,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to finfish farming and fish hatcheries.,48341.36,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to grape vineyards.,29059.45,CropGen,Procured for grape vineyards operations.,Grape Vineyards
Activities related to dry pea and bean farming.,25188.3,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to all other miscellaneous crop farming.,28542.13,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to all other animal production.,22416.85,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to hay farming.,18249.02,CropGen,Procured for hay farming operations.,Hay Farming
Activities related to other noncitrus fruit farming.,45536.65,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other aquaculture.,21977.46,AgriCorp,Procured for other aquaculture operations.,Other Aquaculture
Activities related to cotton farming.,49134.24,FreshFields,Procured for cotton farming operations.,Cotton Farming
Activities related to dairy cattle and milk production.,22071.97,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Irrelevant text laeoclrioctctuifA.ld tuovtretr pniee oirts iud,44845.73,FreshFields,Procured for floriculture production operations.,Floriculture Production
Irrelevant text iaiecft lt tsriot .rAntsmnrig riauiveontdtufehcr e o,2169.71,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other noncitrus fruit farming.,46606.08,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other noncitrus fruit farming.,7059.13,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to hog and pig farming.,19528.66,CropGen,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to sheep farming.,15675.41,FreshFields,Procured for sheep farming operations.,Sheep Farming
aeitreogArptm asdtrrrya) iivrsx  (e eblbte etrecfy.inwtc,11893.3,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to orange groves.,48371.39,EcoFarms,Procured for orange groves operations.,Orange Groves
Activities related to citrus (except orange) groves.,25986.54,FreshFields,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Actvities relsted to sheep farimng.,27640.08,AgriCorp,Procured for sheep farming operations.,Sheep Farming
sorrldtotiitoaeu uAceiir oid vltulpccer.fttn e,6865.56,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to corn farming.,48164.19,BioHarvest,Procured for corn farming operations.,Corn Farming
Activities related to berry (except strawberry) farming.,12934.22,FreshFields,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to floriculture production.,34682.06,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to dry pea and bean farming.,42433.08,EcoFarms,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to all other miscellaneous crop farming.,46155.31,FreshFields,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Irrelevant text te ivte i tttrgacu mneosdfAri it.lneaer,37658.66,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to other poultry production.,24141.9,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Irrelevant text Apiya  enre.  dtav nt sfdl iaeretbgtredanmiaoic,46409.66,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to hog and pig farming.,20520.51,FreshFields,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to apple orchards.,29745.74,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to dry pea and bean farming.,36625.6,CropGen,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to other poultry production.,31179.53,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to tree nut farming.,25963.96,EcoFarms,Procured for tree nut farming operations.,Tree Nut Farming
